cnpj_fundo,forecast,porc_cdi,apr,mse,mae
22.282.992/0001-20,1.062798926358122,1.0559941007256055,BOM,0.00012307917539687983,0.006685678892199594
24.018.977/0001-02,1.062340383194747,1.0555384934950722,BOM,0.00023668583774478824,0.010769872462272899
15.394.520/0001-01,1.0618800390803904,1.0550810968445787,BOM,0.0021109592333879127,0.008849850100557019
36.980.813/0001-32,1.0610565392954951,1.054262869715033,BOM,0.000224681295938126,0.011983807243549225
07.836.157/0001-09,1.0608073936447735,1.054015319279237,BOM,0.0004933748418356563,0.005267862603510232
17.998.242/0001-19,1.0607090896892524,1.0539176447384242,BOM,0.00017479120687350063,0.009790778448816156
42.046.741/0001-53,1.060339582106635,1.0535505030169376,BOM,0.00011496690474425733,0.004929399209474957
42.847.304/0001-39,1.0602562771403348,1.0534677314307113,BOM,0.0004070298910635669,0.00823248734866357
34.979.917/0001-00,1.0594592705477606,1.0526758278644537,BOM,0.0004982228830094511,0.015622581372890921
34.431.537/0001-28,1.058886881733688,1.0521071039073708,BOM,5.807273302179189e-05,0.005962598955087253
22.975.153/0001-97,1.0586333243563646,1.051855169992113,BOM,0.00448312135399306,0.021577965345195387
28.021.609/0001-66,1.058631109495626,1.051852969312553,BOM,0.00019417978806402338,0.010827010097578057
28.021.609/0001-66,1.058631109495626,1.051852969312553,BOM,0.00019417978806402338,0.010827010097578057
32.318.780/0001-09,1.0586075362410774,1.0518295469914336,BOM,0.00019084060722638155,0.004728325732410887
37.539.519/0001-52,1.0578728987724317,1.0510996132157946,BOM,0.00016386944961414528,0.009689253603864991
04.885.503/0001-42,1.0572306696369798,1.05046149610678,BOM,0.0003569484209487314,0.008368386515176901
11.286.399/0001-35,1.0568137412495522,1.0500472372035863,BOM,0.0001444383293014344,0.008633763138494977
52.196.750/0001-84,1.0567901827316761,1.0500238295247846,BOM,0.0018077288037558628,0.01312438884565582
32.225.606/0001-11,1.0567571588439344,1.0499910170804234,BOM,0.00016430079734465635,0.007911746003002335
00.360.293/0001-18,1.0567121095802232,1.0499462562554533,BOM,9.694754749003535e-05,0.0073893134587534855
34.246.525/0001-23,1.0564597379963332,1.0496955005413018,BOM,0.0028290323795212807,0.03242591373005036
35.001.472/0001-43,1.056341803783775,1.0495783214308918,BOM,0.00022394852656106335,0.010433269712527622
38.066.095/0001-19,1.055859212862989,1.0490988204144953,BOM,0.00021358441573164757,0.012231667961577203
38.066.095/0001-19,1.055859212862989,1.0490988204144953,BOM,0.00021358441573164757,0.012231667961577203
51.861.489/0001-27,1.0558454904746388,1.0490851858870356,BOM,0.041878526831681064,0.06010200617350252
31.936.857/0001-41,1.0556834450703956,1.0489241780174503,BOM,0.00029385350723158297,0.011858319544239543
